tier,overwrite_type,name,description_identification_features
Important,no,Update Service Registration,"The DBS UPDATE SERVICE REGISTRATION confirmation - confirms the WORKER has registered their certificate on the Update Service (registration wording, an ID/reference, renewal/subscription details). It is the registration itself, NOT the employer's status-check result ('DBS Check'), NOT the worker's consent form ('Proof of DBS Update Service Consent'), and NOT the certificate ('DBS Document')."
Important,no,Use of Own Car Declaration,"A declaration form specifically ABOUT USING ONE'S OWN VEHICLE FOR WORK (e.g. a Bluebird Care 'Use of own car form declaration'). To be this type the form's SUBJECT must be the car/vehicle: it asks the worker to confirm valid CAR INSURANCE (incl. business use for travelling between calls/clients), a valid MOT, vehicle roadworthiness, a valid DRIVING LICENCE, and any licence endorsements/points. Only classify as this when the vehicle is what the form is about. It has NOTHING to do with DBS: it is NOT a 'DBS Check', NOT 'DBS Check Notes', and NOT a 'DBS Document'. It is NOT 'Proof of Car Insurance' (the insurer's certificate) and NOT a driving licence. Crucially, it is NOT any OTHER kind of employee declaration/acknowledgement that has nothing to do with a vehicle - in particular it is NOT a 'Health Declaration', NOT a 'Safeguarding Questionnaire', NOT an 'Emergency Contact Details' form, NOT a uniform/deposit receipt ('Receipt of Uniform and Deposit Declaration'), NOT an ID badge or any ID/photo card, NOT an 'Intranet Access Declaration', and NOT any other signed 'Declaration' whose subject is not a vehicle. The word 'Declaration' in the title or a signature does NOT make a form this type."
Important,no,Working Time Directive Waiver,"48-hour opt-out form, employee signature"
Other,no,Hospital Discharge Letter,"An NHS hospital DISCHARGE letter/summary - hospital or NHS-trust letterhead, diagnoses, a clinical narrative, and 'Discharge Details' (date/time of discharge, disposition). It is a clinical document about an episode of care. It is NOT any DBS document (even if kept near DBS paperwork), NOT a 'Health Declaration' (the form the worker fills in about their own health), and NOT 'Medical Conditions'."
Other,no,Corrective Action Report,"An internal audit FINDINGS/ACTIONS document - titled e.g. 'Corrective Action Report' or an audit email headed 'ACTIONS REQUIRED', with an audit reference, a table of findings ('Compliant'/'Non-Compliant'), 'Action Required', 'Action By' and due dates. It is ABOUT compliance gaps. Even when its items mention DBS checks, passports, licences or health declarations, it is NEVER a DBS type, 'Probation Review', 'Supervision' or any of the documents it discusses."
Other,no,Media Use Agreement,"A media/photography POLICY plus consent or permission form - wording about using photographs, images or media of staff/customers (e.g. a 'Media' policy with a photography permission/consent section, signed by the employee). Its SUBJECT is photos/media consent. Despite the signature, it is NOT a 'Use of Own Car Declaration', NOT a 'PPE Declaration', and NOT an employment contract."
Other,no,Mobile Phone Use Agreement,"A MOBILE PHONE use policy acknowledgement / agreement form - e.g. 'Mobile Phone Use Agreement Form', confirming the employee has read the mobile-phones policy, sometimes with business-issued handset details (IMEI/SIM). Its SUBJECT is phone use. It is NOT a 'Use of Own Car Declaration' or any vehicle document, and NOT an 'Intranet Access Declaration' (that is about IT/system access)."
Other,no,Document Validation Report,"An identity-document VALIDATION/VERIFICATION REPORT from a checking service (e.g. TrustID) - headed 'Document Validation Report', with 'Document Checks', 'MRZ/Checksum Validation', PASSED/FAILED/NOT PERFORMED flags, and small images of the checked document. It REPORTS ON a passport/BRP/ID: it is NEVER 'BRP', 'Passport', 'eVisa Screenshot' or 'Share Code Check Result', even though it pictures and names those documents."
Other,no,CoS Summary,"A Sponsorship Management System (SMS) screenshot or navigation/summary page about a CoS - breadcrumbs like 'Sponsorship management system > Workers', screens titled 'Amend a CoS', 'Edit sponsor note', 'Manage live CoS', or a small 'CoS summary' box (CoS number, status, expiry, personal details) WITHOUT the full job/salary details of the assigned certificate. It is a sponsor-side summary ABOUT a CoS, NOT the 'Certificate of Sponsorship' itself."
Other,no,CoS Query Email,"An EMAIL or letter discussing, querying or chasing a Certificate of Sponsorship - e.g. correspondence with the Home Office Business Helpdesk about a CoS's status. It is correspondence ABOUT a CoS, NOT the 'Certificate of Sponsorship' itself and NOT a 'CoS Summary' screenshot."
Other,no,Personal Profile Form,"An employer HR PERSONAL-DETAILS form (e.g. a 'Personal Profile' form) capturing the employee's surname/forename, date of birth, address, NI number, marital status, contact numbers, emergency contacts and doctor, signed and dated. Often scanned upside down or bundled with a staff ID-badge template page - per the mixed-bundle rule, a pack STARTING with this form is this type, even if a badge page follows. It is NOT 'ID Badge' (a photo of the physical badge alone) and NOT an 'Employment Application Form'."
Other,no,Employee Handbook Receipt,"A SIGNED handbook receipt/acceptance page - headed e.g. 'Employee Receipt and Acceptance', acknowledging the employee has received and read the staff/caregiver handbook, with print name, signature and date (often together with a confidentiality 'Policy and Pledge' box on the same page). It is the acknowledgement PAGE, not the handbook itself ('Employee Handbook')."
Other,no,Employee GDPR Privacy Notice,"A GDPR / data-protection PRIVACY NOTICE for employees - how the employer collects, uses, stores and shares the employee's personal data, legal bases, retention, data-subject rights. Its SUBJECT is data protection. It is NOT the 'Employee Handbook' even when issued inside the handbook pack."
Other,no,Employee Confidentiality Agreement,"A CONFIDENTIALITY undertaking / non-disclosure agreement signed by the employee - keeping client and company information confidential, disciplinary consequences of disclosure. Its SUBJECT is confidentiality. It is NOT the 'Employee Handbook' and NOT a GDPR privacy notice (that is about how the EMPLOYER handles the employee's data)."
Other,no,Code of Conduct Acknowledgement,"A CODE OF CONDUCT / behavioural standards document or its signed acknowledgement - including branded pledges like a 'CareGiver Promise' - setting out expected professional behaviour, dress, boundaries, gifts policy etc., usually signed by the employee. Its SUBJECT is conduct standards. It is NOT the 'Employee Handbook', NOT a 'Supervision' record and NOT 'Interview Notes'."
Other,no,Reference Request Email,"EMAIL correspondence about obtaining a reference - requesting one from a referee, chasing it, or a covering email chain returning/filing a completed form ('please find attached the completed reference form', 'please can you file this'). ONLY when no reference content is present: CHECK EVERY PAGE first - if the completed reference form or the referee's written reply about the worker appears on ANY later page of the scan, the whole file is a 'Reference', not this type."
Other,no,MOT test certificate,"The DVSA MOT TEST CERTIFICATE (VT20) for a vehicle - 'Driver & Vehicle Standards Agency' / 'MOT Test Certificate' heading, a test number, the tested vehicle, an expiry date and the testing station. It is the certificate ISSUED AT A TEST. It is NOT the gov.uk 'Check MOT history' web printout ('Other - MOT history check') and NOT vehicle tax ('Proof of Vehicle Tax'). [Seeded 2026-08-11: the app had minted this name into BOTH the Important and Other tabs of the workbook with two different descriptions.]"
Other,no,MOT history check,"The gov.uk check-mot.service.gov.uk 'Check MOT history' printout - the registration mark and make/model as a large heading, 'MOT valid until <date>', colour, fuel type, date first registered, and the vehicle's past MOT tests with mileage and advisories. There is no controlled type for it, so this Other name is the right answer - never 'Employment Contract', and never 'Proof of Vehicle Tax' unless the page also states a tax status."
Other,no,Criminal Record Check Declaration,"A worker's SELF-DECLARATION about criminal convictions - typically headed 'PERSONAL INFORMATION' / 'Criminal Record Check Declaration', citing the Rehabilitation of Offenders Act and exempt roles, asking the worker to declare ALL convictions, cautions, charges and pending cases (often answered 'None'), signed and dated. It is the worker's own declaration, NOT a DBS certificate or check record (the DBS types), and NOT a 'Safeguarding Questionnaire' - it asks about the worker's record, not about safeguarding knowledge."
Other,no,Training Repayment Agreement,"A signed AGREEMENT to repay training costs - headed e.g. 'TRAINING REPAYMENT AGREEMENT', naming the employer and the worker, the course funded and its cost, and a repayment scale if the worker leaves within a stated period, with BOTH parties' signatures. It is a contractual document about money. It is NOT a 'Training Certificate' (which certifies a course was COMPLETED) despite the word 'training' in its title."
Other,no,Employment offer acceptance letter,"The WORKER'S acceptance of a job offer - a short letter or signed tear-off slip confirming they accept the offered post, usually repeating the job title and start date and signed by the worker. It is the reply TO an offer: the employer's offer itself is 'Hire Request Offer Letter', and the contract is 'Employment Contract'."
